date,close,Actual Returns,SMA_Fast,SMA_Slow,Signal,Strategy Returns
2015-04-02 14:45:00,24.92,0.0,24.917500000000004,24.321399999999997,1.0,
2015-04-02 15:00:00,24.92,0.0,24.92,24.3308,1.0,0.0
2015-04-02 15:15:00,24.94,0.0008025682182986049,24.925,24.336,1.0,0.0008025682182986049
2015-04-02 15:30:00,24.95,0.000400962309542896,24.932499999999997,24.341099999999997,1.0,0.000400962309542896
2015-04-02 15:45:00,24.98,0.0012024048096193063,24.9475,24.346299999999996,1.0,0.0012024048096193063
2015-04-06 09:30:00,25.16,0.007205764611689425,25.0075,24.3546,1.0,0.007205764611689425
2015-04-06 09:45:00,25.16,0.0,25.0625,24.363400000000002,1.0,0.0
2015-04-06 10:15:00,25.18,0.0007949125596184992,25.12,24.3726,1.0,0.0007949125596184992
2015-04-06 11:45:00,25.21,0.0011914217633042234,25.177500000000002,24.3823,1.0,0.0011914217633042234
2015-04-06 12:00:00,25.18,-0.0011900039666798978,25.1825,24.393600000000003,-1.0,-0.0011900039666798978
2015-04-06 13:30:00,25.2,0.000794281175536149,25.1925,24.405,1.0,-0.000794281175536149
2015-04-06 14:15:00,25.22,0.0007936507936507908,25.2025,24.416899999999995,1.0,0.0007936507936507908
2015-04-07 12:00:00,25.18,-0.0015860428231562196,25.195,24.4282,-1.0,-0.0015860428231562196
2015-04-07 15:45:00,25.13,-0.0019857029388403724,25.1825,24.438300000000005,-1.0,0.0019857029388403724
2015-04-08 09:30:00,25.85,0.02865101472343823,25.345,24.4553,1.0,-0.02865101472343823
2015-04-08 09:45:00,25.59,-0.0100580270793037,25.4375,24.469799999999996,-1.0,-0.0100580270793037
2015-04-09 10:00:00,25.74,0.0058616647127782695,25.577499999999997,24.486,1.0,-0.0058616647127782695
2015-04-09 10:15:00,25.7,-0.0015540015540015384,25.72,24.5019,-1.0,-0.0015540015540015384
2015-04-09 11:15:00,25.7,0.0,25.6825,24.5177,1.0,-0.0
2015-04-09 11:45:00,25.68,-0.0007782101167315147,25.705,24.5356,-1.0,-0.0007782101167315147
2015-04-09 12:15:00,25.78,0.003894080996884819,25.715,24.5559,1.0,-0.003894080996884819
2015-04-09 12:45:00,25.77,-0.00038789759503499166,25.7325,24.574700000000004,-1.0,-0.00038789759503499166
2015-04-09 13:15:00,25.79,0.0007760962359333323,25.755,24.593400000000003,1.0,-0.0007760962359333323
2015-04-09 13:45:00,25.8,0.0003877471888329431,25.785,24.612,1.0,0.0003877471888329431
2015-04-09 14:00:00,25.8,0.0,25.79,24.6305,1.0,0.0
2015-04-09 14:30:00,25.82,0.0007751937984497026,25.8025,24.649900000000002,1.0,0.0007751937984497026
2015-04-10 09:45:00,25.83,0.0003872966692486379,25.8125,24.6666,1.0,0.0003872966692486379
2015-04-10 10:00:00,25.81,-0.0007742934572202431,25.815,24.6829,-1.0,-0.0007742934572202431
2015-04-10 10:30:00,25.84,0.0011623401782254739,25.825000000000003,24.6996,1.0,-0.0011623401782254739
2015-04-10 10:45:00,25.79,-0.0019349845201238614,25.8175,24.716000000000005,-1.0,-0.0019349845201238614
2015-04-10 11:30:00,25.84,0.0019387359441644936,25.82,24.7329,1.0,-0.0019387359441644936
2015-04-10 12:00:00,25.86,0.0007739938080495445,25.8325,24.7502,1.0,0.0007739938080495445
2015-04-10 13:15:00,25.9,0.0015467904098993568,25.8475,24.769299999999998,1.0,0.0015467904098993568
2015-04-10 13:30:00,25.95,0.0019305019305020377,25.8875,24.789,1.0,0.0019305019305020377
